date,TweetId,Tweet,created_at,geo,place,coordinates,location
2020-12-16  01:49,1339009734930788357,@StarTalkRadio @neiltyson @chucknicecomic across the steppe and wage war? For acclimation of sport? More importantl… https://t.co/Dt2u3sJNpl,2020-12-16 00:49:33,,,,
2020-12-16  01:49,1339009731365638146,What happened when the Tarahumaras' love of ultrarunning went global? https://t.co/cZxrbkC6k5,2020-12-16 00:49:32,,,,"Texas, USA"
2020-12-16  01:49,1339009706350800899,"RT @benFranklin2018: Peter Nygard, Jeffrey Epstein, Harvey Weinstein, Prince Andrew - all part of a class of people who exist above the law…",2020-12-16 00:49:26,,,,"Detroit, MI USA"
2020-12-16  01:49,1339009692543148032,RT @JxhnDunn: It feels good as hell to watch Tennessee blow someone out in any sport.,2020-12-16 00:49:22,,,,"Tri-Cities, TN-VA"
2020-12-16  01:49,1339009683772813312,"If you guess all these right i fucking love you!!

Favourite anime intro song:
Favourite subject in school:
Favouri… https://t.co/EiWeJssGaH",2020-12-16 00:49:20,,,,"Toronto, Ontario"
2020-12-16  01:49,1339009676160057344,"RT @Born2Bredarmy: Sapol Thai actor AKA #Lisa number or fan boy
Update his IG with 
"" I Lisa You "" Lisa shirt 
His caption "" I 💜 u "" 
P. S…",2020-12-16 00:49:19,,,,
2020-12-16  01:49,1339009671189950465,"SO!!! JUNGS! 

@Bernd_Schulyok @Sport_Schuetze @OberstWKlink @becker_meister @Markus_Wojahn @null_neun_elf… https://t.co/85V3u5rzGx",2020-12-16 00:49:17,,,,Berlin
2020-12-16  01:49,1339009665162678274,I love Tacko but he’s just not good at the sport of basketball,2020-12-16 00:49:16,,,,
2020-12-16  01:49,1339009632983941121,RT @AZCardinals: Want to give someone special the #HolidayFeels this year? Reply &amp; tag someone in your life who deserves the new @Bose Spor…,2020-12-16 00:49:08,,,,
2020-12-16  01:49,1339009631000141830,@alterbo00982286 @Rumpilstiltski2 @Record_Sport Away and piss yer bed,2020-12-16 00:49:08,,,,"Glasgow, Scotland"
2020-12-16  01:49,1339009611077128193,"@FCBarcelonaFl @Sport_EN Koeman still barca's couch??

so, I bleed for Barcelona fans ..",2020-12-16 00:49:03,,,,
2020-12-16  01:49,1339009605263822854,@mullet_hole the only sexy sport is curling,2020-12-16 00:49:02,,,,California
2020-12-16  01:49,1339009598074871808,@Joeyblunts21 @MJW_era I've played the sport. This is something you don't even do in high school. It wasn't just a… https://t.co/SCLx5kzuOu,2020-12-16 00:49:00,,,,
2020-12-16  01:49,1339009582035824640,@dannykanell Every other sport has playoffs. REAL playoffs. College and pro. Does the superbowl ruin great in seaso… https://t.co/gVvFIj2ZiJ,2020-12-16 00:48:56,,,,"Orlando, FL"
